sample_rep,time_point,analysis_date,avg_thiamine,sd_thiamine,rsd
NIST_A,t0,2024-02-07,9.492346457541704,0.1473370389569708,1.552166680978137
NIST_A,t1,2024-02-07,9.61681758158838,0.06298247066600844,0.6549200931770801
NIST_B,t0,2024-02-07,10.153441399196918,0.1679712995477949,1.6543287437605196
NIST_B,t1,2024-02-07,9.898940900638694,0.1442147340735173,1.456870341191878
NIST_C,t0,2024-02-07,9.641240197267363,0.03714179696405768,0.3852387888291058
NIST_C,t1,2024-02-07,10.073941574366023,0.07367328485879109,0.7313253140782437
NIST_D,t0,2024-02-07,10.134913897647346,0.026357832799225444,0.26006962728458877
NIST_D,t1,2024-02-07,9.805966529226293,0.008348851787664036,0.08514052911337822
NIST_E,t0,2024-02-07,9.700528202225996,0.05062126179959679,0.5218402621414022
NIST_E,t1,2024-02-07,9.837968577357373,0.05473153449781023,0.5563296331701838
NIST_F,t0,2024-02-07,10.13002937451155,0.06682966746633111,0.6597183976038915
NIST_F,t1,2024-02-07,10.127166033362977,0.2508945218272075,2.4774405890123607
NIST_G,t0,2024-02-10,9.538946487948946,0.4929341990387727,5.167595810098343
NIST_G,t1,2024-02-10,9.583178435462663,0.15259544152689095,1.5923259965838654
NIST_H,t0,2024-02-10,9.316581989164034,0.3142952624290315,3.373503960943866
NIST_H,t1,2024-02-10,9.281988131380933,0.502911383666487,5.418142929597412
NIST_I,t0,2024-02-10,9.213660959540677,0.2235263280627832,2.4260316180977264
NIST_I,t1,2024-02-10,9.172010643204803,0.17204152359698488,1.8757231133878367
NIST_J,t0,2024-02-10,9.423117302436372,0.07072224571284025,0.7505185751487443
NIST_J,t1,2024-02-10,9.32191736026491,0.15882914534157677,1.7038248592354306
NIST_K,t0,2024-02-10,9.242058902496955,0.2498234766644932,2.7031149584752985
NIST_K,t1,2024-02-10,9.029676710933037,0.20257191997478466,2.2434016904449385
NIST_L,t0,2024-02-10,9.676977701590973,0.054217532897414655,0.5602734094189434
NIST_L,t1,2024-02-10,9.29128200362117,0.1602120734007856,1.724326883398274
NIST_M,t0,2024-02-11,9.465015936015394,0.059221334928171485,0.6256865844549505
NIST_M,t1,2024-02-11,9.822072884719466,0.09124262360504855,0.9289548619314139
NIST_N,t0,2024-02-11,10.147746406879548,0.06414484527990418,0.6321092655253773
NIST_N,t1,2024-02-11,9.599570028263877,0.13759939137917318,1.4333911932934629
NIST_O,t0,2024-02-11,9.745023753683325,0.08313773021678827,0.8531300930422536
NIST_O,t1,2024-02-11,9.865483492693487,0.05569392197936555,0.5645331221790928
NIST_P,t0,2024-02-11,10.01244061579169,0.0500278732330544,0.4996571280947235
NIST_P,t1,2024-02-11,9.680377653496903,0.03782892201364943,0.39077940311537596
