x,y,group,time
0.871205576,1.040542126,NIST_A_T0,0
0.878405622,1.040297747,NIST_A_T0,0
0.885605668,1.040005684,NIST_A_T0,0
0.892805714,1.039689779,NIST_A_T0,0
0.90000576,1.039397717,NIST_A_T0,0
0.907205806,1.0391891,NIST_A_T0,0
0.914405852,1.039105654,NIST_A_T0,0
0.921605898,1.039159298,NIST_A_T0,0
0.928805944,1.039350033,NIST_A_T0,0
0.93600599,1.039654016,NIST_A_T0,0
0.943206037,1.040029526,NIST_A_T0,0
0.950406083,1.040446758,NIST_A_T0,0
0.957606129,1.040875912,NIST_A_T0,0
0.964806175,1.041257381,NIST_A_T0,0
0.972006221,1.041561365,NIST_A_T0,0
0.979206267,1.041764021,NIST_A_T0,0
0.986406313,1.04187727,NIST_A_T0,0
0.993606359,1.041913033,NIST_A_T0,0
1.000806405,1.041907072,NIST_A_T0,0
1.008006451,1.041859388,NIST_A_T0,0
1.015206497,1.041775942,NIST_A_T0,0
1.022406543,1.041668653,NIST_A_T0,0
1.029606589,1.041531563,NIST_A_T0,0
1.036806636,1.041382551,NIST_A_T0,0
1.044006682,1.0412395,NIST_A_T0,0
1.051206728,1.041102409,NIST_A_T0,0
1.058406774,1.0409832,NIST_A_T0,0
1.06560682,1.040911674,NIST_A_T0,0
1.072806866,1.040881872,NIST_A_T0,0
1.080006912,1.040899754,NIST_A_T0,0
1.087206958,1.040971279,NIST_A_T0,0
1.094407004,1.041054726,NIST_A_T0,0
1.10160705,1.041132212,NIST_A_T0,0
1.108807096,1.041162014,NIST_A_T0,0
1.116007142,1.041150093,NIST_A_T0,0
1.123207189,1.041084528,NIST_A_T0,0
1.130407235,1.04097724,NIST_A_T0,0
1.137607281,1.04085803,NIST_A_T0,0
1.144807327,1.040750742,NIST_A_T0,0
1.152007373,1.040673256,NIST_A_T0,0
1.159207419,1.040631533,NIST_A_T0,0
1.166407465,1.040631533,NIST_A_T0,0
1.173607511,1.040661335,NIST_A_T0,0
1.180807557,1.040685177,NIST_A_T0,0
1.188007603,1.040697098,NIST_A_T0,0
1.195207649,1.040685177,NIST_A_T0,0
1.202407695,1.040649414,NIST_A_T0,0
1.209607741,1.040607691,NIST_A_T0,0
1.216807788,1.040565968,NIST_A_T0,0
1.224007834,1.040554047,NIST_A_T0,0
1.23120788,1.040571928,NIST_A_T0,0
1.238407926,1.04060173,NIST_A_T0,0
1.245607972,1.040649414,NIST_A_T0,0
1.252808018,1.040685177,NIST_A_T0,0
1.260008064,1.04072094,NIST_A_T0,0
1.26720811,1.040756702,NIST_A_T0,0
1.274408156,1.040810347,NIST_A_T0,0
1.281608202,1.040887833,NIST_A_T0,0
1.288808248,1.041013002,NIST_A_T0,0
1.296008294,1.041215658,NIST_A_T0,0
1.303208341,1.041519642,NIST_A_T0,0
1.310408387,1.041924953,NIST_A_T0,0
1.317608433,1.042413712,NIST_A_T0,0
1.324808479,1.042962074,NIST_A_T0,0
1.332008525,1.043528318,NIST_A_T0,0
1.339208571,1.0440588,NIST_A_T0,0
1.346408617,1.044547558,NIST_A_T0,0
1.353608663,1.04496479,NIST_A_T0,0
1.360808709,1.045286655,NIST_A_T0,0
1.368008755,1.045489311,NIST_A_T0,0
1.375208801,1.04560256,NIST_A_T0,0
1.382408847,1.045656204,NIST_A_T0,0
1.389608893,1.045703888,NIST_A_T0,0
1.39680894,1.045781374,NIST_A_T0,0
1.404008986,1.045918465,NIST_A_T0,0
1.411209032,1.046103239,NIST_A_T0,0
1.418409078,1.046359539,NIST_A_T0,0
1.425609124,1.046669483,NIST_A_T0,0
1.43280917,1.04701519,NIST_A_T0,0
1.440009216,1.047372818,NIST_A_T0,0
1.447209262,1.047694683,NIST_A_T0,0
1.454409308,1.047974825,NIST_A_T0,0
1.461609354,1.048219204,NIST_A_T0,0
1.4688094,1.04842782,NIST_A_T0,0
1.476009446,1.048594713,NIST_A_T0,0
1.483209493,1.048737764,NIST_A_T0,0
1.490409539,1.048839092,NIST_A_T0,0
1.497609585,1.048886776,NIST_A_T0,0
1.504809631,1.048892736,NIST_A_T0,0
1.512009677,1.048845053,NIST_A_T0,0
1.519209723,1.048743725,NIST_A_T0,0
1.526409769,1.048612595,NIST_A_T0,0
1.533609815,1.048487425,NIST_A_T0,0
1.540809861,1.048380136,NIST_A_T0,0
1.548009907,1.04830265,NIST_A_T0,0
1.555209953,1.048254967,NIST_A_T0,0
1.562409999,1.048243046,NIST_A_T0,0
1.569610046,1.048278809,NIST_A_T0,0
1.576810092,1.048356295,NIST_A_T0,0
1.584010138,1.048463583,NIST_A_T0,0
1.591210184,1.048588753,NIST_A_T0,0
1.59841023,1.048713923,NIST_A_T0,0
1.605610276,1.048839092,NIST_A_T0,0
1.612810322,1.048970222,NIST_A_T0,0
1.620010368,1.049107313,NIST_A_T0,0
1.627210414,1.049232483,NIST_A_T0,0
1.63441046,1.049357653,NIST_A_T0,0
1.641610506,1.049488783,NIST_A_T0,0
1.648810552,1.049643755,NIST_A_T0,0
1.656010598,1.049846411,NIST_A_T0,0
1.663210645,1.05009079,NIST_A_T0,0
1.670410691,1.050364971,NIST_A_T0,0
1.677610737,1.050662994,NIST_A_T0,0
1.684810783,1.050955057,NIST_A_T0,0
1.692010829,1.051217318,NIST_A_T0,0
1.699210875,1.051431894,NIST_A_T0,0
1.706410921,1.051580906,NIST_A_T0,0
1.713610967,1.051670313,NIST_A_T0,0
1.720811013,1.051723957,NIST_A_T0,0
1.728011059,1.051771641,NIST_A_T0,0
1.735211105,1.051807404,NIST_A_T0,0
1.742411151,1.051855087,NIST_A_T0,0
1.749611198,1.05189085,NIST_A_T0,0
1.756811244,1.051920652,NIST_A_T0,0
1.76401129,1.051920652,NIST_A_T0,0
1.771211336,1.05188489,NIST_A_T0,0
1.778411382,1.051777601,NIST_A_T0,0
1.785611428,1.051580906,NIST_A_T0,0
1.792811474,1.051318645,NIST_A_T0,0
1.80001152,1.051008701,NIST_A_T0,0
1.807211566,1.050686836,NIST_A_T0,0
1.814411612,1.050370932,NIST_A_T0,0
1.821611658,1.050049067,NIST_A_T0,0
1.828811704,1.049751043,NIST_A_T0,0
1.83601175,1.049476862,NIST_A_T0,0
1.843211797,1.049244404,NIST_A_T0,0
1.850411843,1.049053669,NIST_A_T0,0
1.857611889,1.048892736,NIST_A_T0,0
1.864811935,1.048743725,NIST_A_T0,0
1.872011981,1.048588753,NIST_A_T0,0
1.879212027,1.048439741,NIST_A_T0,0
1.886412073,1.04829073,NIST_A_T0,0
1.893612119,1.048135757,NIST_A_T0,0
1.900812165,1.047956944,NIST_A_T0,0
1.908012211,1.047754288,NIST_A_T0,0
1.915212257,1.04752183,NIST_A_T0,0
1.922412303,1.047283411,NIST_A_T0,0
1.92961235,1.047039032,NIST_A_T0,0
1.936812396,1.046812534,NIST_A_T0,0
1.944012442,1.046603918,NIST_A_T0,0
1.951212488,1.046413183,NIST_A_T0,0
1.958412534,1.046258211,NIST_A_T0,0
1.96561258,1.046139002,NIST_A_T0,0
1.972812626,1.046037674,NIST_A_T0,0
1.980012672,1.045960188,NIST_A_T0,0
1.987212718,1.045906544,NIST_A_T0,0
1.994412764,1.045882702,NIST_A_T0,0
2.00161281,1.045870781,NIST_A_T0,0
2.008812856,1.045870781,NIST_A_T0,0
2.016012902,1.045870781,NIST_A_T0,0
2.023212949,1.045882702,NIST_A_T0,0
